2.09 - 00015053 - ENTRY - 4 ../TestDir/er/andale10.stf
2.14 - 00015053 - ENTRY - 12 ../TestDir/er/cave2.jpg
2.19 - 00015053 - ENTRY - 4 ../TestDir/er/clouds.png
2.23 - 00015053 - ENTRY - 412 ../TestDir/er/block-snow-top.png
2.26 - 00015053 - ENTRY - 108 ../TestDir/er/arctis_bottom.jpg
2.29 - 00015053 - ENTRY - 4 ../TestDir/er/coins.h
2.33 - 00015053 - ENTRY - 8 ../TestDir/er/burning-2.png
2.36 - 00015053 - ENTRY - 128 ../TestDir/er/arcticskies2.png
2.39 - 00015053 - ENTRY - 448 ../TestDir/er/arctis_para3.png
2.41 - 00015053 - ENTRY - 8 ../TestDir/er/burning-5.png
2.45 - 00015053 - ENTRY - 8 ../TestDir/er/buttjump-3.png
2.48 - 00015053 - ENTRY - 88 ../TestDir/er/arctis.jpg
2.53 - 00015053 - ENTRY - 4 ../TestDir/er/coin-4.xpm
2.56 - 00015053 - ENTRY - 40 ../TestDir/er/bridgeocean-original.png
2.60 - 00015053 - ENTRY - 28 ../TestDir/er/billboard-pickrock.png
2.63 - 00015053 - ENTRY - 40 ../TestDir/er/billboard-bigtux.png
2.66 - 00015053 - ENTRY - 8 ../TestDir/er/air.png
2.71 - 00015053 - ENTRY - 4 ../TestDir/er/coin-6.xpm
2.76 - 00015053 - ENTRY - 92 ../TestDir/er/bridgeocean-nofade.png
2.80 - 00015053 - ENTRY - 8 ../TestDir/er/burning-7.png
2.84 - 00015053 - ENTRY - 4 ../TestDir/er/climbable.png
2.88 - 00015053 - ENTRY - 148 ../TestDir/er/arctis_para2.png
2.92 - 00015053 - ENTRY - 8 ../TestDir/er/buttjump-4.png
2.96 - 00015053 - ENTRY - 40 ../TestDir/er/billboard-fireflower.png
3.01 - 00015053 - ENTRY - 4 ../TestDir/er/ambientsound.png
3.09 - 00015053 - ENTRY - 4 ../TestDir/er/black_800px.png
3.14 - 00015053 - ENTRY - 8 ../TestDir/er/burning-6.png
3.18 - 00015053 - ENTRY - 1120 ../TestDir/er/cloud-mountains-background.png
3.22 - 00015053 - ENTRY - 16 ../TestDir/er/bluemountain-top.png
3.26 - 00015053 - ENTRY - 4 ../TestDir/er/center.png
3.30 - 00015053 - ENTRY - 8 ../TestDir/er/coin-7.xpm
3.34 - 00015053 - ENTRY - 40 ../TestDir/er/arctis_dark.jpg
3.38 - 00015053 - ENTRY - 12 ../TestDir/er/coin-6.png
3.42 - 00015053 - ENTRY - 4 ../TestDir/er/bicycleplatform.png
3.46 - 00015053 - ENTRY - 48 ../TestDir/er/billboard-buttjump.png
3.50 - 00015053 - ENTRY - 4 ../TestDir/er/charging-0.png
3.54 - 00015053 - ENTRY - 4 ../TestDir/er/background.png
3.58 - 00015053 - ENTRY - 692 ../TestDir/er/block-snow-background.png
3.62 - 00015053 - ENTRY - 4 ../TestDir/er/clock.png
3.66 - 00015053 - ENTRY - 4 ../TestDir/er/camera.png
3.70 - 00015053 - ENTRY - 80 ../TestDir/er/bridgeocean-fade.png
3.74 - 00015053 - ENTRY - 88 ../TestDir/er/arcticskies4.png
3.78 - 00015053 - ENTRY - 4 ../TestDir/er/coins.c
3.82 - 00015053 - ENTRY - 128 ../TestDir/er/arcticskies3.png
3.86 - 00015053 - ENTRY - 12 ../TestDir/er/coin-3.png
3.90 - 00015053 - ENTRY - 12 ../TestDir/er/coin-5.png
3.94 - 00015053 - ENTRY - 12 ../TestDir/er/coin-0.png
-1.91 - 00015060 - ENTRY - 20 ../TestDir/er/tux_backwards/tux-walk-0b.xpm
-1.76 - 00015060 - ENTRY - 20 ../TestDir/er/tux_backwards/tux-standb.xpm
-1.70 - 00015060 - ENTRY - 20 ../TestDir/er/tux_backwards/tux-walk-4b.xpm
-1.65 - 00015060 - ENTRY - 20 ../TestDir/er/tux_backwards/tux-walk-3b.xpm
-1.62 - 00015060 - ENTRY - 20 ../TestDir/er/tux_backwards/tux_jumpb.xpm
-1.58 - 00015060 - ENTRY - 104 ../TestDir/er/tux_backwards/
-1.52 - 00015060 - CREATE - Command: ../TestDir/er/tux_backwards-l  -a --block-size=1024 -S --max_depth=2147483644
4.18 - 00015053 - ENTRY - 4 ../TestDir/er/charging-1.png
4.27 - 00015053 - ENTRY - 4 ../TestDir/er/burning-8.png
4.34 - 00015053 - ENTRY - 8 ../TestDir/er/burning-1.png
4.39 - 00015053 - ENTRY - 4 ../TestDir/er/candle-4.png
4.44 - 00015053 - ENTRY - 68 ../TestDir/er/billboard-plant.png
4.50 - 00015053 - ENTRY - 8 ../TestDir/er/buttjump-2.png
4.65 - 00015053 - ENTRY - 112664 ../TestDir/er/
4.70 - 00015053 - CREATE - Command: ../TestDir/er-l  -a --block-size=1024 -S --max_depth=2147483645
1.87 - 00015051 - ENTRY - 8 ../TestDir/example.txt
-1.57 - 00015061 - ENTRY - 4 ../TestDir/testerdir/eeeeeeeee
-1.07 - 00015061 - ENTRY - 4 ../TestDir/testerdir/Untitled Document 1
-0.88 - 00015061 - ENTRY - 4 ../TestDir/testerdir/whaaaat
-0.74 - 00015061 - ENTRY - 16 ../TestDir/testerdir/
-0.64 - 00015061 - CREATE - Command: ../TestDir/testerdir-l  -a --block-size=1024 -S --max_depth=2147483645
-1.79 - 00015062 - ENTRY - 8 ../TestDir/meow/loser.png
-1.53 - 00015062 - ENTRY - 12 ../TestDir/meow/
-1.45 - 00015062 - CREATE - Command: ../TestDir/meow-l  -a --block-size=1024 -S --max_depth=2147483645
2.67 - 00015051 - ENTRY - 0 ../TestDir/test_link
2.82 - 00015051 - ENTRY - 496 ../TestDir/menus1.bmp
2.92 - 00015051 - ENTRY - 508 ../TestDir/
2.99 - 00015051 - EXIT - 0
